shift_date,shift,zone_id,zone_lat,zone_lon,predicted_EIS
2024-04-09,evening (14:00-22:00),13.19_77.645,13.19,77.645,0.4327888
2024-04-09,evening (14:00-22:00),12.925_77.675,12.925,77.675,0.42827854
2024-04-09,evening (14:00-22:00),12.975_77.615,12.975,77.615,0.42704913
2024-04-09,evening (14:00-22:00),12.96_77.51,12.96,77.51,0.42236316
2024-04-09,evening (14:00-22:00),13.03_77.54,13.03,77.54,0.4219051
2024-04-09,evening (14:00-22:00),12.975_77.625,12.975,77.625,0.41745517
2024-04-09,evening (14:00-22:00),12.89_77.64,12.89,77.64,0.41692403
2024-04-09,evening (14:00-22:00),12.91_77.64,12.91,77.64,0.40357086
2024-04-09,evening (14:00-22:00),13.0_77.54,13.0,77.54,0.39221823
2024-04-09,evening (14:00-22:00),12.985_77.58,12.985,77.58,0.38571665
2024-04-09,evening (14:00-22:00),13.07_77.585,13.07,77.585,0.37464252
2024-04-09,evening (14:00-22:00),12.925_77.62,12.925,77.62,0.3658758
2024-04-09,evening (14:00-22:00),12.98_77.555,12.98,77.555,0.3438091
2024-04-09,evening (14:00-22:00),12.995_77.615,12.995,77.615,0.32873628
2024-04-09,evening (14:00-22:00),12.96_77.7,12.96,77.7,0.32840487
2024-04-09,evening (14:00-22:00),12.96_77.65,12.96,77.65,0.32330197
2024-04-09,evening (14:00-22:00),12.975_77.54,12.975,77.54,0.31875262
2024-04-09,evening (14:00-22:00),12.93_77.68,12.93,77.68,0.31105113
2024-04-09,evening (14:00-22:00),12.97_77.595,12.97,77.595,0.30563086
2024-04-09,evening (14:00-22:00),12.96_77.715,12.96,77.715,0.30312923
2024-04-09,evening (14:00-22:00),12.995_77.565,12.995,77.565,0.30161527
2024-04-09,evening (14:00-22:00),12.97_77.605,12.97,77.605,0.29436278
2024-04-09,evening (14:00-22:00),12.94_77.7,12.94,77.7,0.2773583
2024-04-09,evening (14:00-22:00),13.03_77.575,13.03,77.575,0.27611515
2024-04-09,evening (14:00-22:00),12.91_77.6,12.91,77.6,0.27003518
2024-04-09,evening (14:00-22:00),12.96_77.585,12.96,77.585,0.2656028
2024-04-09,evening (14:00-22:00),12.97_77.59,12.97,77.59,0.26265058
2024-04-09,evening (14:00-22:00),12.95_77.54,12.95,77.54,0.25695702
2024-04-09,evening (14:00-22:00),13.03_77.535,13.03,77.535,0.25488666
2024-04-09,evening (14:00-22:00),12.985_77.575,12.985,77.575,0.25384688
2024-04-09,evening (14:00-22:00),12.98_77.695,12.98,77.695,0.2520319
2024-04-09,evening (14:00-22:00),12.885_77.64,12.885,77.64,0.25039867
2024-04-09,evening (14:00-22:00),12.87_77.655,12.87,77.655,0.24027802
2024-04-09,evening (14:00-22:00),13.065_77.59,13.065,77.59,0.23073702
2024-04-09,evening (14:00-22:00),13.05_77.595,13.05,77.595,0.22884567
2024-04-09,evening (14:00-22:00),12.96_77.6,12.96,77.6,0.22833714
2024-04-09,evening (14:00-22:00),12.96_77.645,12.96,77.645,0.22816353
2024-04-09,evening (14:00-22:00),12.995_77.59,12.995,77.59,0.22100362
2024-04-09,evening (14:00-22:00),12.955_77.7,12.955,77.7,0.21734999
2024-04-09,evening (14:00-22:00),12.98_77.56,12.98,77.56,0.2148175
2024-04-09,evening (14:00-22:00),13.19_77.68,13.19,77.68,0.20530747
2024-04-09,evening (14:00-22:00),12.97_77.62,12.97,77.62,0.20345154
2024-04-09,evening (14:00-22:00),12.915_77.575,12.915,77.575,0.20191327
2024-04-09,evening (14:00-22:00),12.99_77.57,12.99,77.57,0.19910754
2024-04-09,evening (14:00-22:00),13.0_77.68,13.0,77.68,0.19735064
2024-04-09,evening (14:00-22:00),12.97_77.71,12.97,77.71,0.19224447
2024-04-09,evening (14:00-22:00),12.995_77.61,12.995,77.61,0.19166556
